"ID","n","p","h2","n_effect_vars"
1,500,2000,0.01,1
2,1000,2000,0.01,1
3,500,5000,0.01,1
4,1000,5000,0.01,1
5,500,10000,0.01,1
6,1000,10000,0.01,1
7,500,2000,0.1,1
8,1000,2000,0.1,1
9,500,5000,0.1,1
10,1000,5000,0.1,1
11,500,10000,0.1,1
12,1000,10000,0.1,1
13,500,2000,0.3,1
14,1000,2000,0.3,1
15,500,5000,0.3,1
16,1000,5000,0.3,1
17,500,10000,0.3,1
18,1000,10000,0.3,1
19,500,2000,0.01,3
20,1000,2000,0.01,3
21,500,5000,0.01,3
22,1000,5000,0.01,3
23,500,10000,0.01,3
24,1000,10000,0.01,3
25,500,2000,0.1,3
26,1000,2000,0.1,3
27,500,5000,0.1,3
28,1000,5000,0.1,3
29,500,10000,0.1,3
30,1000,10000,0.1,3
31,500,2000,0.3,3
32,1000,2000,0.3,3
33,500,5000,0.3,3
34,1000,5000,0.3,3
35,500,10000,0.3,3
36,1000,10000,0.3,3
37,500,2000,0.01,5
38,1000,2000,0.01,5
39,500,5000,0.01,5
40,1000,5000,0.01,5
41,500,10000,0.01,5
42,1000,10000,0.01,5
43,500,2000,0.1,5
44,1000,2000,0.1,5
45,500,5000,0.1,5
46,1000,5000,0.1,5
47,500,10000,0.1,5
48,1000,10000,0.1,5
49,500,2000,0.3,5
50,1000,2000,0.3,5
51,500,5000,0.3,5
52,1000,5000,0.3,5
53,500,10000,0.3,5
54,1000,10000,0.3,5
55,500,2000,0.2,1
56,1000,2000,0.2,1
57,500,5000,0.2,1
58,1000,5000,0.2,1
59,500,10000,0.2,1
60,1000,10000,0.2,1
61,500,2000,0.4,1
62,1000,2000,0.4,1
63,500,5000,0.4,1
64,1000,5000,0.4,1
65,500,10000,0.4,1
66,1000,10000,0.4,1
67,500,2000,0.2,3
68,1000,2000,0.2,3
69,500,5000,0.2,3
70,1000,5000,0.2,3
71,500,10000,0.2,3
72,1000,10000,0.2,3
73,500,2000,0.4,3
74,1000,2000,0.4,3
75,500,5000,0.4,3
76,1000,5000,0.4,3
77,500,10000,0.4,3
78,1000,10000,0.4,3
79,500,2000,0.2,5
80,1000,2000,0.2,5
81,500,5000,0.2,5
82,1000,5000,0.2,5
83,500,10000,0.2,5
84,1000,10000,0.2,5
85,500,2000,0.4,5
86,1000,2000,0.4,5
87,500,5000,0.4,5
88,1000,5000,0.4,5
89,500,10000,0.4,5
90,1000,10000,0.4,5
